Item ID,Shampoo Name,Category,Date Sold,Quantity Sold,Unit Price,COGS,Profit
SHMP003,Silky Smooth,Moisturizing,2023-08-01,198,10.99,940.5,1235.52
SHMP005,Coconut Nourish,Natural,2023-12-01,224,13.25,1321.6,1646.4
SHMP002,Dandruff Defense,Anti-Dandruff,2023-03-01,116,15.5,788.8,1009.2
SHMP008,Volume Boost,Volumizing,2023-01-01,430,14.5,2687.5,3547.5
SHMP004,Keratin Repair,Repair,2023-11-01,69,18.75,565.8,727.95
SHMP005,Coconut Nourish,Natural,2023-11-01,429,13.25,2531.1,3153.15
SHMP005,Coconut Nourish,Natural,2023-03-01,440,13.25,2596.0,3234.0
SHMP009,Baby Gentle,Kids,2023-07-01,361,8.99,1371.8,1873.59
SHMP002,Dandruff Defense,Anti-Dandruff,2023-06-01,429,15.5,2917.2,3732.3
SHMP004,Keratin Repair,Repair,2023-03-01,145,18.75,1189.0,1529.75
SHMP008,Volume Boost,Volumizing,2023-03-01,130,14.5,812.5,1072.5
SHMP001,Herbal Bliss,Herbal,2023-10-01,385,12.99,2117.5,2883.65
SHMP002,Dandruff Defense,Anti-Dandruff,2023-08-01,417,15.5,2835.6,3627.9
SHMP009,Baby Gentle,Kids,2023-06-01,59,8.99,224.2,306.21
SHMP008,Volume Boost,Volumizing,2023-05-01,150,14.5,937.5,1237.5
SHMP005,Coconut Nourish,Natural,2023-05-01,127,13.25,749.3,933.45
SHMP003,Silky Smooth,Moisturizing,2023-04-01,185,10.99,878.75,1154.4
SHMP003,Silky Smooth,Moisturizing,2023-12-01,198,10.99,940.5,1235.52
SHMP008,Volume Boost,Volumizing,2023-10-01,296,14.5,1850.0,2442.0
SHMP004,Keratin Repair,Repair,2023-05-01,273,18.75,2238.6,2880.15
SHMP002,Dandruff Defense,Anti-Dandruff,2023-09-01,444,15.5,3019.2,3862.8
SHMP002,Dandruff Defense,Anti-Dandruff,2023-07-01,343,15.5,2332.4,2984.1
SHMP009,Baby Gentle,Kids,2023-04-01,407,8.99,1546.6,2112.33
SHMP005,Coconut Nourish,Natural,2023-01-01,127,13.25,749.3,933.45
SHMP009,Baby Gentle,Kids,2023-01-01,381,8.99,1447.8,1977.39
